ch1,ch2,ch3,ch4,Value,Tag
792.967041015625,798.205139160156,808.278381347656,799.816833496094,L,HK
800.219787597656,797.802185058594,808.681335449219,815.93408203125,L,HK
788.937744140625,803.846130371094,809.487182617188,796.190490722656,L,HK
799.010986328125,794.175842285156,807.87548828125,796.996337890625,L,HK
809.084228515625,801.025634765625,809.084228515625,809.084228515625,L,HK
797.399291992187,808.278381347656,800.219787597656,796.996337890625,L,HK
811.501831054687,800.219787597656,806.263732910156,806.666687011719,L,HK
802.637390136719,790.146545410156,806.666687011719,792.967041015625,L,HK
815.531127929688,801.428588867188,805.860778808594,810.293029785156,L,HK
805.054931640625,800.219787597656,815.128234863281,807.87548828125,L,HK
